#	Actif 1	Actif 2	Actif 3	Montant initial	DCA	Fréquence	De	À	Titre TikTok	Description TikTok
1	^GSPC	BTC-USD	—	10 000	0	—	Jan 2017	Déc 2024	10 000€ dans le S&P 500 vs Bitcoin depuis 2017 — résultat choc	Et si tu avais choisi Bitcoin plutôt que la bourse américaine ? Résultats réels 🔥 #bitcoin #investissement #bourse
2	AAPL	MSFT	—	10 000	0	—	Jan 2015	Déc 2024	Apple vs Microsoft : le duel des titans sur 10 ans	Laquelle des deux t'aurait rendu le plus riche ? 📊 #apple #microsoft #bourse #investissement
3	MC.PA	^FCHI	—	10 000	0	—	Jan 2014	Déc 2024	LVMH vs CAC 40 sur 10 ans — le luxe français écrase tout	L'exception LVMH face à l'indice français 🇫🇷👜 #lvmh #cac40 #actionsfr #bourse
4	NVDA	INTC	—	10 000	0	—	Jan 2019	Déc 2024	Nvidia vs Intel depuis 2019 — l'IA qui change tout	L'une vaut 10x l'autre. Tu aurais misé sur laquelle ? 🤖 #nvidia #intel #ia #bourse
5	GC=F	^GSPC	—	10 000	0	—	Jan 2000	Déc 2024	Or vs S&P 500 depuis 2000 : la valeur refuge est-elle vraiment utile ?	25 ans de données réelles. Le résultat va te surprendre 🥇 #or #bourse #investissement #epargne
6	^GSPC	—	—	0	200	Mensuel	Jan 2004	Déc 2024	200€ par mois pendant 20 ans dans le S&P 500	Le miracle des intérêts composés sur 20 ans 📈 Capital investi vs valeur finale #dca #epargne #interetscomposes
7	TSLA	TM	—	10 000	0	—	Jan 2015	Déc 2024	Tesla vs Toyota sur 10 ans — disruption ou stabilité ?	L'électrique vs le roi du fiable. Qui a gagné ? 🚗⚡ #tesla #toyota #bourse #investissement
8	IWDA.AS	—	—	10 000	0	—	Jan 1994	Déc 2024	MSCI World sur 30 ans — la retraite du salarié lambda	Si ton grand-père avait investi 10 000€ en 1994... 🌍 #etf #msciworld #retraite #investissement
9	^GSPC	—	—	10 000	0	—	Jan 2020	Déc 2024	Investir au pic de jan 2020 vs au creux de mars 2020	Même actif, même durée, résultat très différent 📉📈 #timing #bourse #sp500
10	AMZN	—	—	10 000	0	—	Jan 2001	Déc 2024	Amazon depuis 2001 — la patience du siècle	10 000€ → combien aujourd'hui ? 😱 #amazon #bourse #investissementlongterme
11	BTC-USD	—	—	0	100	Mensuel	Jan 2018	Déc 2024	100€/mois en Bitcoin depuis 2018 — le DCA qui calme	Moins risqué qu'un achat unique. Les chiffres prouvent tout 🟠 #bitcoin #dca #crypto #investissement
12	RMS.PA	^FCHI	—	10 000	0	—	Jan 2012	Déc 2024	Hermès vs CAC 40 depuis 2012 — l'exception absolue	L'action la plus impressionnante de France 🇫🇷 #hermes #luxe #cac40 #bourse
13	NVDA	—	—	10 000	0	—	Jan 2016	Déc 2024	10 000€ dans Nvidia en 2016 → aujourd'hui	Le trade du siècle. En avais-tu ? 🔥 #nvidia #bourse #investissement
14	AIR.PA	BA	—	10 000	0	—	Jan 2015	Déc 2024	Airbus vs Boeing sur 10 ans — Europe vs USA dans l'aéro	Deux géants, deux trajectoires très différentes ✈️ #airbus #boeing #bourse #investissement
